Summary_num,Macgregor_num_SL,new_line,new_station,Line,Station,Sta,Latitude,Longitude,Date,Year,Length (mm),WW (g),DW (g),Lipid (g),ppDDE_ppm_ww,opDDD_ppm_ww,opDDT_ppm_ww,ppDDD_ppm_ww,ppDDT_ppm_ww,tDDT_ppm_ww,A1254,Remove,NOTES,
25,369,53.3,60,53,60,53.6,384935,1242944,600420,1960,35,0.5286,0.1542,0.0147,0.024,0,0.001,0,0.033,0.058,0.188,1,May be different species,
24,370,53.3,60,53,60,53.6,384935,1242944,600127,1960,35,0.3656,0.1104,0.0514,0.192,0,0.081,0.044,0.179,0.496,0,0,,
8,371,40,60,40,60,40.6,410441,1261105,600204,1960,34,0.316,0.0335,0.0008,0.009,0,0.0002,0,0.0006,0.0098,0.011,0,,
22,372,53.3,55,53,55,53.55,385935,1240733,600128,1960,35,0.3864,0.1152,0.0562,0.125,0.011,0.015,0.024,0.124,0.299,0,0,,
10,373,40,70,40,70,40.7,404441,1265645,600203,1960,29,0.1803,0.041,0.017,0.073,0,0.008,0.023,0.141,0.245,1.117,0,,
48,374,60,70,60,70,60.7,371650,1241956,591022,1959,32,0.2994,0.0871,0.0402,0.096,0,0,0.009,0.082,0.187,0.414,0,,
472,375,100,30,100,30,100.3,314109,1164636,590407,1959,31,0.2664,0.0619,0.0236,0.063,0,0.005,0.02,0.048,0.136,0.197,0,,
82,376,70,52,70,52,70.52,360830,1215000,560500,1956,60,1.9686,0.6961,0.3487,0.121,0,0.015,0.044,0.101,0.281,0.175,0,,
131,377,76.7,55,77,55,77.55,345010,1210943,560700,1956,66,2.8431,0.9319,0.4713,0.211,0.016,0.066,0.084,0.246,0.623,0.041,0,,
21,378,53.3,55,53,55,53.55,385935,1240733,560600,1956,58,1.9779,0.6626,0.3514,0.028,0.002,0.002,0.011,0.038,0.081,0.087,0,,
423,379,93.3,30,93,30,93.3,325354,1173354,561210,1956,53,1.6854,0.5554,0.2735,0.1,0,0.01,0.026,0.114,0.25,0.307,0,,
141,380,76.7,80,77,80,77.8,340010,1225414,560500,1956,68,3.278,1.1092,0.5028,0.147,0.018,0,0.049,0.194,0.408,0.399,0,,
94,381,70,60,70,60,70.6,355255,1222156,550700,1955,62,2.2072,0.709,0.3526,0.039,0.01,0,0.016,0.089,0.154,0.102,0,,
79,382,70,50,70,50,70.5,361255,1213916,550700,1955,46,1.0446,0.3841,0.1638,0.035,0,0,0.01,0.088,0.133,0.104,0,,
151,383,80,55,80,55,80.55,341900,1204808,550200,1955,54,1.5351,0.4294,0.2256,0.055,0.009,0.016,0.03,0.084,0.194,0.071,0,,
458,384,96.7,40,97,40,97.4,315219,1174729,550300,1955,64,2.4073,0.7881,0.4243,0.184,0.014,0.086,0.1,0.297,0.681,0.15,0,,
419,385,93.3,30,93,30,93.3,325354,1173354,530726,1953,58,1.7671,0.5638,0.289,0.024,0.009,0.027,0.029,0.063,0.152,0.043,0,,
173,386,80,70,80,70,80.7,334859,1215035,530205,1953,61,2.2842,0.6929,0.3474,0.016,0.008,0.013,0.035,0.068,0.14,0.031,0,,
140,387,76.7,65,77,65,77.65,343010,1215139,550700,1955,63,2.5604,0.864,0.4612,0.072,0,0.017,0.038,0.122,0.249,0,0,,
70,388,66.7,55,67,55,67.55,363406,1222240,530613,1953,58,2.0362,0.6575,0.3415,0.038,0.004,0.011,0.029,0.151,0.233,0.1,0,,
